system,condition,precision,recall,f1,reference_positive_support,predicted_positive_count,true_positive_count,omission_count,addition_count
g0_target_image,Enlarged Cardiomediastinum,0.0,0.0,0.0,60,3,0,60,3
g0_target_image,Cardiomegaly,0.31382978723404253,0.5959595959595959,0.41114982578397213,99,188,59,40,129
g0_target_image,Lung Opacity,0.45864661654135336,0.4485294117647059,0.45353159851301117,136,133,61,75,72
g0_target_image,Lung Lesion,0.1875,0.11764705882352941,0.14457831325301204,51,32,6,45,26
g0_target_image,Edema,0.2,0.2727272727272727,0.23076923076923078,22,30,6,16,24
g0_target_image,Consolidation,0.05263157894736842,0.06666666666666667,0.058823529411764705,15,19,1,14,18
g0_target_image,Pneumonia,0.2702702702702703,0.2702702702702703,0.2702702702702703,37,37,10,27,27
g0_target_image,Atelectasis,0.3684210526315789,0.08860759493670886,0.14285714285714285,79,19,7,72,12
g0_target_image,Pneumothorax,0.0,0.0,0.0,4,4,0,4,4
g0_target_image,Pleural Effusion,0.3870967741935484,0.5853658536585366,0.46601941747572817,41,62,24,17,38
g0_target_image,Pleural Other,0.0,0.0,0.0,17,5,0,17,5
g0_target_image,Fracture,1.0,0.05714285714285714,0.10810810810810811,35,2,2,33,0
g0_target_image,Support Devices,0.5384615384615384,0.4375,0.4827586206896552,48,39,21,27,18
g0_target_image,No Finding,0.658974358974359,0.8120063191153238,0.7275300778485492,633,780,514,119,266
g1_whole_report,Enlarged Cardiomediastinum,0.2413793103448276,0.11666666666666667,0.15730337078651685,60,29,7,53,22
g1_whole_report,Cardiomegaly,0.35537190082644626,0.43434343434343436,0.39090909090909093,99,121,43,56,78
g1_whole_report,Lung Opacity,0.4,0.4411764705882353,0.4195804195804196,136,150,60,76,90
g1_whole_report,Lung Lesion,0.16,0.1568627450980392,0.15841584158415842,51,50,8,43,42
g1_whole_report,Edema,0.28,0.3181818181818182,0.2978723404255319,22,25,7,15,18
g1_whole_report,Consolidation,0.0,0.0,0.0,15,13,0,15,13
g1_whole_report,Pneumonia,0.21818181818181817,0.32432432432432434,0.2608695652173913,37,55,12,25,43
g1_whole_report,Atelectasis,0.323943661971831,0.2911392405063291,0.30666666666666664,79,71,23,56,48
g1_whole_report,Pneumothorax,0.0,0.0,0.0,4,2,0,4,2
g1_whole_report,Pleural Effusion,0.44,0.5365853658536586,0.4835164835164835,41,50,22,19,28
g1_whole_report,Pleural Other,0.35714285714285715,0.29411764705882354,0.3225806451612903,17,14,5,12,9
g1_whole_report,Fracture,0.0,0.0,0.0,35,6,0,35,6
g1_whole_report,Support Devices,0.4411764705882353,0.3125,0.36585365853658536,48,34,15,33,19
g1_whole_report,No Finding,0.6752717391304348,0.7851500789889415,0.7260774287801315,633,736,497,136,239
g2_hierarchical,Enlarged Cardiomediastinum,0.09090909090909091,0.03333333333333333,0.04878048780487805,60,22,2,58,20
g2_hierarchical,Cardiomegaly,0.3712121212121212,0.494949494949495,0.42424242424242425,99,132,49,50,83
g2_hierarchical,Lung Opacity,0.42748091603053434,0.4117647058823529,0.41947565543071164,136,131,56,80,75
g2_hierarchical,Lung Lesion,0.15789473684210525,0.11764705882352941,0.1348314606741573,51,38,6,45,32
g2_hierarchical,Edema,0.28,0.3181818181818182,0.2978723404255319,22,25,7,15,18
g2_hierarchical,Consolidation,0.0,0.0,0.0,15,15,0,15,15
g2_hierarchical,Pneumonia,0.20454545454545456,0.24324324324324326,0.2222222222222222,37,44,9,28,35
g2_hierarchical,Atelectasis,0.3559322033898305,0.26582278481012656,0.30434782608695654,79,59,21,58,38
g2_hierarchical,Pneumothorax,0.0,0.0,0.0,4,4,0,4,4
g2_hierarchical,Pleural Effusion,0.40425531914893614,0.4634146341463415,0.4318181818181818,41,47,19,22,28
g2_hierarchical,Pleural Other,0.45454545454545453,0.29411764705882354,0.35714285714285715,17,11,5,12,6
g2_hierarchical,Fracture,0.0,0.0,0.0,35,5,0,35,5
g2_hierarchical,Support Devices,0.47368421052631576,0.375,0.4186046511627907,48,38,18,30,20
g2_hierarchical,No Finding,0.6772486772486772,0.8088467614533965,0.7372210223182145,633,756,512,121,244
g3_selective,Enlarged Cardiomediastinum,0.07142857142857142,0.016666666666666666,0.02702702702702703,60,14,1,59,13
g3_selective,Cardiomegaly,0.37037037037037035,0.5050505050505051,0.42735042735042733,99,135,50,49,85
g3_selective,Lung Opacity,0.4015748031496063,0.375,0.38783269961977185,136,127,51,85,76
g3_selective,Lung Lesion,0.13513513513513514,0.09803921568627451,0.11363636363636363,51,37,5,46,32
g3_selective,Edema,0.13333333333333333,0.18181818181818182,0.15384615384615385,22,30,4,18,26
g3_selective,Consolidation,0.05263157894736842,0.06666666666666667,0.058823529411764705,15,19,1,14,18
g3_selective,Pneumonia,0.3055555555555556,0.2972972972972973,0.3013698630136986,37,36,11,26,25
g3_selective,Atelectasis,0.2727272727272727,0.11392405063291139,0.16071428571428573,79,33,9,70,24
g3_selective,Pneumothorax,0.0,0.0,0.0,4,2,0,4,2
g3_selective,Pleural Effusion,0.37735849056603776,0.4878048780487805,0.425531914893617,41,53,20,21,33
g3_selective,Pleural Other,0.36363636363636365,0.23529411764705882,0.2857142857142857,17,11,4,13,7
g3_selective,Fracture,0.5,0.05714285714285714,0.10256410256410256,35,4,2,33,2
g3_selective,Support Devices,0.5116279069767442,0.4583333333333333,0.4835164835164835,48,43,22,26,21
g3_selective,No Finding,0.6688227684346701,0.8167456556082149,0.7354196301564723,633,773,517,116,256
