system_name,prompt_type,threshold,n,draft_correct_true,draft_correct_false,draft_correct_manual,final_correct_true,final_correct_false,final_correct_manual,errors_corrected,correct_answers_lost,mean_support_rate,revision_rate,abstention_rate,unsupported_sentence_rate,negation_conflict_count
case_level_rag,direct,0.4,100,96,1,3,93,3,4,0,4,0.955,0.07,0.02,0.06363636363636363,0
case_level_rag,evidence_guided,0.4,100,95,4,1,90,7,3,0,6,0.95,0.05,0.05,0.04807692307692308,2
case_level_rag,structured_case_aware,0.4,100,96,2,2,88,8,4,0,9,0.925,0.06,0.06,0.08737864077669903,0
chunk_rag,direct,0.4,100,97,1,2,94,2,4,0,4,0.95,0.09,0.01,0.07964601769911504,0
chunk_rag,evidence_guided,0.4,100,93,6,1,91,6,3,2,5,0.925,0.1,0.05,0.09345794392523364,2
chunk_rag,structured_case_aware,0.4,100,96,2,2,89,6,5,0,7,0.945,0.04,0.04,0.0673076923076923,0
report_rag,direct,0.4,100,96,1,3,92,4,4,0,5,0.935,0.09,0.04,0.08333333333333333,0
report_rag,evidence_guided,0.4,100,95,4,1,91,6,3,0,5,0.96,0.04,0.04,0.0380952380952381,2
report_rag,structured_case_aware,0.4,100,96,2,2,88,8,4,0,9,0.925,0.06,0.06,0.08737864077669903,0
case_level_rag,direct,0.5,100,96,1,3,89,7,4,0,8,0.915,0.11,0.06,0.10909090909090909,0
case_level_rag,evidence_guided,0.5,100,95,4,1,89,8,3,0,7,0.94,0.06,0.06,0.057692307692307696,2
case_level_rag,structured_case_aware,0.5,100,96,2,2,88,8,4,0,9,0.925,0.06,0.06,0.08737864077669903,0
chunk_rag,direct,0.5,100,97,1,2,89,7,4,0,9,0.9,0.13,0.07,0.13274336283185842,0
chunk_rag,evidence_guided,0.5,100,93,6,1,91,6,3,2,5,0.925,0.1,0.05,0.09345794392523364,2
chunk_rag,structured_case_aware,0.5,100,96,2,2,89,6,5,0,7,0.945,0.04,0.04,0.0673076923076923,0
report_rag,direct,0.5,100,96,1,3,90,6,4,0,7,0.915,0.11,0.06,0.1111111111111111,0
report_rag,evidence_guided,0.5,100,95,4,1,90,7,3,0,6,0.95,0.05,0.05,0.047619047619047616,2
report_rag,structured_case_aware,0.5,100,96,2,2,88,8,4,0,9,0.925,0.06,0.06,0.08737864077669903,0
case_level_rag,direct,0.6,100,96,1,3,79,18,3,0,18,0.805,0.22,0.17,0.20909090909090908,0
case_level_rag,evidence_guided,0.6,100,95,4,1,84,13,3,0,12,0.89,0.11,0.11,0.10576923076923077,2
case_level_rag,structured_case_aware,0.6,100,96,2,2,78,19,3,0,19,0.81,0.18,0.18,0.20388349514563106,0
chunk_rag,direct,0.6,100,97,1,2,80,16,4,0,18,0.81,0.23,0.15,0.22123893805309736,0
chunk_rag,evidence_guided,0.6,100,93,6,1,85,12,3,2,11,0.865,0.16,0.11,0.14953271028037382,2
chunk_rag,structured_case_aware,0.6,100,96,2,2,76,20,4,0,20,0.795,0.19,0.19,0.22115384615384615,0
report_rag,direct,0.6,100,96,1,3,79,18,3,0,18,0.795,0.23,0.18,0.2222222222222222,0
report_rag,evidence_guided,0.6,100,95,4,1,84,13,3,0,12,0.885,0.12,0.11,0.11428571428571428,2
report_rag,structured_case_aware,0.6,100,96,2,2,78,19,3,0,19,0.81,0.18,0.18,0.20388349514563106,0
case_level_rag,direct,0.65,100,96,1,3,73,23,4,0,24,0.745,0.28,0.23,0.2727272727272727,0
case_level_rag,evidence_guided,0.65,100,95,4,1,81,16,3,0,15,0.85,0.15,0.15,0.14423076923076922,2
case_level_rag,structured_case_aware,0.65,100,96,2,2,74,23,3,0,23,0.77,0.22,0.22,0.24271844660194175,0
chunk_rag,direct,0.65,100,97,1,2,77,20,3,0,21,0.775,0.26,0.19,0.25663716814159293,0
chunk_rag,evidence_guided,0.65,100,93,6,1,82,15,3,2,14,0.835,0.19,0.14,0.17757009345794392,2
chunk_rag,structured_case_aware,0.65,100,96,2,2,75,21,4,0,21,0.785,0.2,0.2,0.23076923076923078,0
report_rag,direct,0.65,100,96,1,3,74,23,3,0,23,0.75,0.27,0.23,0.26851851851851855,0
report_rag,evidence_guided,0.65,100,95,4,1,80,17,3,0,16,0.84,0.16,0.16,0.1619047619047619,2
report_rag,structured_case_aware,0.65,100,96,2,2,76,21,3,0,21,0.79,0.2,0.2,0.22330097087378642,0
case_level_rag,direct,0.7,100,96,1,3,65,32,3,0,32,0.65,0.38,0.32,0.37272727272727274,0
case_level_rag,evidence_guided,0.7,100,95,4,1,75,22,3,0,21,0.79,0.21,0.21,0.20192307692307693,2
case_level_rag,structured_case_aware,0.7,100,96,2,2,64,33,3,0,33,0.67,0.32,0.32,0.33980582524271846,0
chunk_rag,direct,0.7,100,97,1,2,68,29,3,0,30,0.675,0.37,0.28,0.35398230088495575,0
chunk_rag,evidence_guided,0.7,100,93,6,1,77,20,3,2,19,0.785,0.24,0.19,0.22429906542056074,2
chunk_rag,structured_case_aware,0.7,100,96,2,2,67,29,4,0,29,0.705,0.28,0.28,0.3076923076923077,0
report_rag,direct,0.7,100,96,1,3,67,31,2,0,30,0.665,0.36,0.31,0.3611111111111111,0
report_rag,evidence_guided,0.7,100,95,4,1,75,22,3,0,21,0.79,0.21,0.21,0.20952380952380953,2
report_rag,structured_case_aware,0.7,100,96,2,2,66,31,3,0,31,0.69,0.3,0.3,0.32038834951456313,0
